,Question,A,B,C,D,Answer,Subject,
1002,"Kādam lauksaimniekam piederēja 20 akru liels zemes gabals, kas atradās uz dienvidiem no galvenā bulvāra - ielas, kas vijās uz austrumiem un rietumiem. Lauksaimnieka zemes gabals atradās blakus 300 akru lielai rančo, kas atradās austrumu virzienā. Uz rietumiem no lauksaimnieka zemes gabala atradās 100 akru liels zemes gabals. Lauksaimnieks savu īpašumu sadalīja divos 10 akru zemes gabalos: 1. zemes gabals bija ziemeļu daļa, kas robežojās ar galveno bulvāri; 2. zemes gabals bija dienvidu daļa, kas dienvidos robežojās ar upi. Lauksaimnieks 1997. gada martā ar garantijas līgumu nodeva zemes gabalu kādam vīrietim. Aktā nebija minēti nekādi apgrūtinājumi. Pēc tam 1997. gada septembrī lauksaimnieks ar garantijas līgumu nodeva 2. zemes gabalu kādai sievietei. Gan vīrietis, gan sieviete nekavējoties reģistrēja savus aktus apgabala Reģistratūrā. Lauksaimnieks 1965. gadā izbūvēja piebraucamo ceļu no tagadējā 2. zemes gabala, kas stiepās pāri 1. zemes gabalam, kur tas savienojās ar galveno bulvāri. Šis piebraucamais ceļš šķērso tagadējo 1. zemes gabalu, un lauksaimnieks to nepārtraukti izmantoja līdz 1997. gadam, kad viņš savu īpašumu zemes gabalos nodeva vīrietim un sievietei. Kad sieviete pārņēma īpašumā 2. zemes gabalu, viņa nekavējoties sāka izmantot piebraucamo ceļu pāri 1. zemes gabalam. Pēc tam vīrietis pieprasīja, lai sieviete pārtrauc izmantot piebraucamo ceļu pāri 1. zemes gabalam. Pēc tam, kad sieviete atteicās, vīrietis iesniedza attiecīgu prasību, lai aizliegtu sievietei izmantot piebraucamo ceļu. Šajā prasībā vīrietis uzvarēs",", jo viņa akts ir agrāks par sievietes aktu.","uzvarēs, jo viņa aktā nav minēti nekādi apgrūtinājumi.","zaudēs, jo sievietei ir servitūts pēc nepieciešamības.","zaudēs, jo sievietei ir skaidri noteikts servitūts.",C,professional_law,1002professional_law
56,"Klifords un Lūsija Paulingi Senior View stāstīja, ka fiziskās pārmaiņas",ir straujas un biedējošas,var kompensēt ar meditāciju,ilgst ilgu laiku,par tām nevajadzētu runāt publiski,C,human_aging,56human_aging
156,Kurš no šiem piemēriem ir rakstura tikums?,gara auguma,godīguma,fiziskā skaistuma,vienkāršības piemērs?,B,moral_disputes,156moral_disputes
120,Līdz 28 dienām pēc ieņemšanas embrijs ir aptuveni __________ cm garš.,1,2,3,4,A,human_sexuality,120human_sexuality
158,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Man vajadzēja naudu, tāpēc es paņēmu savu ieroci uz banku. 2. scenārijs | Man vīrs palīdzēja nokārtot redzes pārbaudi, lai iegūtu autovadītāja apliecību.","nepareizi, nepareizi","nepareizi, nav nepareizi","nav nepareizi, nav nepareizi","nav nepareizi, nav nepareizi",A,moral_scenarios,158moral_scenarios
123,Primitīva pilsēta ir,"liela pilsēta, kas atrodas valsts perifērijā.",svarīgākā valsts pilsēta.,ja valsts lielākā pilsēta ir vairāk nekā divas reizes lielāka par nākamo lielāko pilsētu.,lielākā valsts pilsēta.,C,high_school_geography,123high_school_geography
285,"Pirmsskolas skolotāja māca skolēniem par krāsu ratu, kas ir krāsu toņu sakārtojums ap apli. Sarkanā, dzeltenā un zilā krāsa ir piemērs kādam no šādiem krāsu veidiem krāsu ritenī?",Papildinošā,Primārā,Sekundārā,Trešā,B,miscellaneous,285miscellaneous
327,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es esmu medmāsa.  Es cenšos, lai mani pacienti turpinātu slimot, lai viņiem būtu nepieciešams vairāk ārstēšanas no manis. 2. scenārijs | Es uzstāju uz augumā liela pārgalvja kājas.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",B,moral_scenarios,327moral_scenarios
100,"Prezidentu, viceprezidentu un ASV civildienesta ierēdņus var atstādināt no amata. Kurš no šiem apgalvojumiem nav patiess attiecībā uz impīčmentu?",Pie impīčmenta iemesliem pieder valsts nodevība un kukuļdošana,Pie impīčmenta iemesliem pieder smagi noziegumi un likumpārkāpumi,"Lai izvirzītu apsūdzības impīčmentā, nepieciešams vairākums balsu Pārstāvju palātā","Lai notiesātu un atstādinātu no amata, Senātā ir nepieciešamas trīs ceturtdaļas balsu",D,professional_law,100professional_law
178,"Ja es metu 5 standarta sešstūra kauliņus un reizinu skaitli uz katra kauliņa sejas, kāda ir varbūtība, ka rezultāts ir salikts skaitlis?",\frac{485}{486},\frac{16}{7776},\frac{4}{7776},\frac{2}{7776},A,high_school_mathematics,178high_school_mathematics
209,"Korelācija 0,6 norāda, ka y variācijas procentuālā daļa, kas izskaidrojama ar x variāciju, ir cik reižu lielāka par 0,3 korelācijas norādīto procentuālo daļu?",2,3,4,6,C,high_school_statistics,209high_school_statistics
57,"Kuru no šiem apgalvojumiem noraidītu tie, kas sevi dēvē par kritiskiem tiesību teorētiķiem?",Tiesības ir politika.,Tiesības ir determinētas.,Tiesības atspoguļo ekonomisko varu.,Tiesības ir nestabilas.,B,jurisprudence,57jurisprudence
29,"Pēc Epikūra domām, likums ir netaisnīgs, ja:",tas neatbilst dabiskajām tiesībām.,tas neatbilst sabiedrības tradīcijām.,tas aizskar dievus.,"tas nav izdevīgs tiem, kurus tas ietekmē.",D,philosophy,29philosophy
154,"Šis jautājums attiecas uz šādu informāciju.
""Tie, kuru stāvoklis ir tāds, ka viņu funkcija ir sava ķermeņa izmantošana un no viņiem neko labāku nevar sagaidīt, tie, es saku, ir dabas vergi. Viņiem ir labāk, ja viņus tā pārvalda.""
Huans de Sepulveda, ""Politika"", 1522. g
""Kad 19. gadsimtā Latīņamerikas valstis ieguva neatkarību, šie divi strāvojumi saplūda un apvienojās ar vecāku, universālistiskāku dabisko tiesību tradīciju. Rezultātā radās Latīņamerikai raksturīgs tiesību diskursa veids. Paolo Carozza izseko šī diskursa saknēm, meklējot tā saknes Tomisma morāles filozofijas īpatnējā pielietojumā un paplašināšanā, lai risinātu netaisnības, kas tika pieļautas spāņu iekarojumu laikā Jaunajā pasaulē. Šķiet, ka galvenā figūra šajā attīstībā bija Bartolomé de Las Casas, 16. gadsimta spāņu bīskaps, kurš nosodīja verdzību un aizstāvēja indiāņus, pamatojoties uz dabiskajām tiesībām uz brīvību, kas pamatojas uz viņu piederību vienotai cilvēcei. ""Visas pasaules tautas ir cilvēki,"" rakstīja Las Kasass, un ""visas cilvēces rases ir vienotas Kā raksta Braiens Tērnijs (Brian Tierney), Las Kasass un citi spāņu dominikāņu filozofi lika pamatus no reliģiskās atklāsmes neatkarīgai dabisko tiesību doktrīnai, ""balstoties uz juridisko tradīciju, kas dabiskās tiesības un dabiskās tiesības atvasināja no cilvēka racionalitātes un brīvas gribas, un atsaucoties uz Aristoteļa filozofiju""
Mary Ann Glendon, ""The Forgotten Crucible: The Latin American Influence on the Universal Human Rights Idea"", 2003. gads
Kurš no šiem prezidentiem 20. gadsimtā visvairāk iesaistījās Latīņamerikas politikā?",James K. Polk,James Monroe,Theodore Roosevelt,Chester Arthur,C,high_school_us_history,154high_school_us_history
121,"Procedūru, kas ietver atkārtotu kāda stimula pasniegšanu klientam, līdz šī stimula pievilcība samazinās, vislabāk raksturo",stimulu piesātināšana,atbildes reakcijas novēršana,plūdi,implozija,A,professional_psychology,121professional_psychology
8,"Kaste ar masu m slīd pa horizontālu virsmu ar sākotnējo ātrumu v0. Tā nejūt citus spēkus, izņemot gravitācijas spēku un virsmas spēku. Ja kinētiskās berzes koeficients starp kasti un virsmu ir μ, cik tālu slīd kaste, pirms tā nonāk miera stāvoklī?",v0^2/(2μg),v0^2/(μg),2v0^2/(μg),mv0^2/(μg),A,high_school_physics,8high_school_physics
273,"Apavu mazumtirgotājs ļauj klientiem atgriezt apavus 90 dienu laikā pēc iegādes. Uzņēmums lēš, ka 90 dienu laikā tiks atgriezti 5 % no pārdošanas apjoma. Mēneša laikā uzņēmuma pārdošanas apjoms ir 200 000 ASV dolāru un iepriekšējos mēnešos veikto pārdošanas darījumu atgriešana ir 5 000 ASV dolāru. Kāda summa uzņēmumam jāreģistrē kā tīrie pārdošanas ieņēmumi par mēneša laikā veiktajiem jaunajiem pārdevumiem?",$185 000,$190 000,$195 000,$200 000,B,professional_accounting,273professional_accounting
367,Kādi ir brāļu Smothersu (Smothers Brothers)(vārdi?,Frenks un Bils,Toms un Diks,Deivs un Džordžs,Eds un Pits,B,miscellaneous,367miscellaneous
94,Kā tiek piemērots kods.,"1,2,3","1,2,4","1,3,4","2,3,4",B,business_ethics,94business_ethics
257,Kas bija vienojošais elements Čavinu kultūrā?,"mākslas stili, kuros izmantoti vieni un tie paši radījumi",austi tekstilizstrādājumi ar kopīgiem motīviem,apstrādāti metāla priekšmeti,viss iepriekš minētais,D,prehistory,257prehistory
57,"Pie ārsta vēršas 3 gadus vecs zēns ar hronisku granulomatozu slimību, jo 3 nedēļas viņam ir drudzis un silti, sarkani tulznas zem abām rokām. Viņa temperatūra ir 38°C (100,4°F). Fizikālā izmeklēšanā redzami palielināti, 3 cm lieli, eritematozi paduses limfmezgli abpusēji. Palpējot mezgli ir jutīgi, svārstīgi un kustīgi. Izmeklējot smalko adatu aspirātu no viena no mezgliem, konstatē grampozitīvus kokus grupās. Aspirāta kultūras audzē dzeltenas, βhemolītiskas kolonijas, kas ir katalāzei un koagulāzei pozitīvas. Polimerāzes ķēdes reakcijas tests parāda mecA pozitīvus organismus. Kura no turpmāk minētajām farmakoterapijām ir vispiemērotākā šim pacientam?",Ciprofloksacīns,Penicilīns G,Rifampicīns,Vankomicīns,D,professional_medicine,57professional_medicine
67,Kolberga kungam pieder ziedu veikals. Dienas sākumā viņam bija 152 rozes. Kolberga kungs pārdeva 96 rozes un pēc tam vēlējās pārējās rozes sadalīt pa vienai daļai 8 vāzēs. Kāds būs kopējais rožu skaits katrā vāzē?,7,12,48,56,A,elementary_mathematics,67elementary_mathematics
172,"Lielu lieko svaru žurkām, visticamāk, izraisītu",hipokampa,talama,hipotalāma,amigdalas bojājums,C,high_school_psychology,172high_school_psychology
16,"Kurš no šiem rādītājiem liecina, ka reakcija ir spontāna?",līdzsvara stāvoklī produktu ir vairāk nekā reaģentu,ΔG° vērtība ir lielāka par nulli,ΔS° vērtība ir lielāka par nulli,Keq vērtība ir mazāka par vienu,A,high_school_chemistry,16high_school_chemistry
81,"Elektronu un protonu ievieto 1,0 T magnētiskajā laukā 300 K temperatūrā. Kāda ir līdzsvara polarizāciju attiecība: |pe / pH| ?","[|ɣe| = 1,761 x 10^11 T^-1 s^-1]",820,658,329,B,college_chemistry,81college_chemistry
92,Pārsprieguma apstākļos sprieguma saspiešanas ierīces piedāvātā pretestība ir,augsta.,zema.,mērena.,bezgalīga.,B,electrical_engineering,92electrical_engineering
277,Atrodiet precīzu atbildi: 800 - 301,599,500,499,401,C,elementary_mathematics,277elementary_mathematics
129,"Viszemākā iespējamā temperatūra ir absolūtā nulle, kas ir",0 kelvīnu,-273°C,Abas ir vienādas,Neviens no tiem,C,conceptual_physics,129conceptual_physics
20,"52 gadus veca sieviete ierodas neatliekamās medicīniskās palīdzības nodaļā, jo 1 nedēļu agrāk viņai bija zema temperatūra un pieaugoši vēdera krampji, kas pastiprinājās, izkārnījies zarnu kustībām. Pirms 2 dienām viņa uzsāka amoksicilīna-klavulanāta un metronidazola kursu, bet simptomi nav mazinājušies. Pēdējos 12 gadus viņai ir bijuši periodiski aizcietējumi. Viņai nav bijusi slikta dūša, vemšana, urinēšanas simptomi vai asiņaini izkārnījumi. Viņai ir 3 gadus ilga hipertensija. Pirms 5 gadiem viņai tika veikta pilnīga abdominālā histerektomija un abpusēja salpingo-ooforektomija dzemdes leiomijomas dēļ. Viņa ir 165 cm gara un sver 86 kg; ĶMI ir 32 kg/m2 . Viņas temperatūra ir 38,1°C, pulss 75/min, asinsspiediens 150/80 mm Hg. Auskultācijā plaušas ir tīras. Sirds izmeklēšana neuzrāda nekādas anomālijas. Vēders ir mīksts, un ir jūtama jutība palpējot kreiso apakšējo kvadrantu ar apsargāšanos, bet bez atsitiena. Zarnu darbības ir normālas. Izkārnījumi ir brūni, un slēpto asiņu tests ir negatīvs. Hemoglobīna koncentrācija ir 14,5 g/dl, leikocītu skaits ir 15 000/mm3 , trombocītu skaits ir 280 000/mm3 ; seruma un urīna analīzes neuzrāda nekādas novirzes. Kurš no turpmāk minētajiem pasākumiem ir vispiemērotākais nākamais solis diagnozes noteikšanā?",Izkārnījumu tests uz Clostridium difficile toksīnu,Endoskopiska retrogrāda holangiopankreatogrāfija,Iegurņa ultrasonogrāfija,Vēdera dobuma datortomogrāfija ar kontrastu,D,professional_medicine,20professional_medicine
732,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Tā kā mana draudzene baidās no zirnekļiem, es viņai tos nogalinu. 2. scenārijs | Es nopirku vīram cigarešu paciņu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,732moral_scenarios
231,"19 gadus veca sieviete ierodas neatliekamās palīdzības nodaļā, jo, kā viņa saka, ""es degu"" Anamnēzē ir nozīmīga intravenoza narkotiku lietošana. Fizikālā izmeklēšana atklāj sistolisku sirds šņākšanu pār prekordiju. Kura no šādām fizikālajām pazīmēm ir sagaidāma?",Samazināta S1 intensitāte,Palielināta trokšņa intensitāte ar dziļu ieelpu,Palielināta trokšņa intensitāte ar piespiedu izelpu,Pozitīva Kussmaula zīme (jūga venozā pulsa pieaugums ar ieelpu),B,professional_medicine,231professional_medicine
70,"Šis jautājums attiecas uz šādu informāciju.
Vispirms mums jāatzīmē, ka kosmosa forma ir sfēriska, daļēji tāpēc, ka šī forma, kas ir pilnīgs veselums, kam nav nepieciešami savienojumi, ir vispilnīgākā no visām, daļēji tāpēc, ka tā ir visplašākā forma, kas ir vispiemērotākā, lai visu saturētu un saglabātu; vai arī tāpēc, ka visas kosmosa sastāvdaļas, t. i., saule, mēness un planētas, ir šādā formā; vai arī tāpēc, ka viss cenšas sasniegt šo formu, kā tas parādās ūdens pilienu un citu šķidro ķermeņu gadījumā, ja tie mēģina sevi noteikt. Tāpēc neviens nešaubīsies, ka šī forma pieder debesu ķermeņiem. ..
Tāpēc nav šaubu, ka arī zeme ir sfēriska, jo tā no visām pusēm spiež uz savu centru. Lai gan kalnu pacēlumu un ieleju ieplaku dēļ nav iespējams izprast perfektu apli, tomēr tas neietekmē zemes vispārējo sfērisko raksturu. ..
Tā kā jau ir pierādīts, ka Zemei ir sfēras forma, mums jāapsver, vai arī kustība sakrīt ar šo formu un kāda vieta Zemei ir Visumā. ... Lielākā daļa autoru, protams, piekrīt, ka zeme atrodas visuma centrā, un uzskata par neiedomājamu un smieklīgu pretējo pieņēmumu. Taču, rūpīgi izsverot šo jautājumu, redzēsim, ka jautājums vēl nav atrisināts un tāpēc nekādā ziņā nav jāuztver vieglprātīgi. Katra novērojamā vietas maiņa ir saistīta, proti, ar novērojamā objekta vai novērotāja kustību, vai arī ar abu kustībām. ... Tagad tieši no zemes tiek novērots debesu apvērsums, un tas tiek radīts mūsu acīm. Tāpēc, ja zeme neiztur nekādu kustību, šai kustībai jānotiek visā ārpus zemes, bet pretējā virzienā nekā tad, ja viss uz zemes kustētos, un šāda veida ir ikdienas revolūcija. Tā tas, šķiet, ietekmē visu Visumu, tas ir, visu, kas atrodas ārpus zemes, izņemot tikai pašu zemi. Taču, ja pieļautu, ka šī kustība nav raksturīga tikai debesīm, bet ka zeme griežas no rietumiem uz austrumiem, un ja to rūpīgi aplūkotu saistībā ar saules, mēness un zvaigžņu šķietamo pacelšanos un rietumu, tad atklātu, ka tāda ir patiesā situācija.""
Nikolajs Koperniks, ""Debesu ķermeņu rotācijas"", 1543. gads
Šo fragmentu var izmantot kā pierādījumu tam, ka Koperniks atšķīrās no tā laika tradicionālajiem aristoteliskajiem dabas filozofiem, jo viņš uzskatīja, ka",kosmoss ir sfērisks,Zeme ir sfēriska,kosmoss ir ģeostatisks,Zeme nav nekustīga,D,high_school_european_history,70high_school_european_history
49,Kā tiek detalizēti pētīti jaunie poliomavīrusi,Sekvencēšana ar šāviena pistoli,Kultivēšana cilvēka nervu šūnās,Dziļā piro sekvencēšana (NGS),Monoklonālo antivielu metodes,A,virology,49virology
1437,"Kravu pārvadājumu uzņēmums piedāvāja iegādāties lielu riepu pasūtījumu no riepu vairumtirgotāja ar noteiktiem nosacījumiem. Pirms atbildes saņemšanas iepirkumu aģents piezvanīja vairumtirgotājam un paziņoja: ""Mēs saskaramies ar kritisku finanšu krīzi un nevaram atļauties veikt šo pirkumu."" Pārdevējs nākamajā dienā nosūtīja pieņemšanas veidlapu un nosūtīja preces ar rēķinu. Kad iepirkumu uzņēmums nesamaksāja un nosūtīja preces atpakaļ, pārdevējs iesniedza prasību tiesā par negūto peļņu. Pārdevējs apgalvoja, ka iepirkuma aģenta vārdi nav skaidri vēstījuši par piedāvājuma atsaukšanu. Vai pārdevējs uzvarēs?","Jā, jo piedāvājuma atsaukšanai ir nepieciešami skaidri atteikuma vārdi, lai to varētu izpildīt.","Jā, jo pārdevējam ir jābūt iespējai paļauties uz noteiktu preču pasūtījumu.","Nē, jo atsaukuma vārdi bija pietiekami skaidri, lai paziņotu, ka darījums ir atcelts.","Nē, jo pircējs nekad nepārkāpj līgumu, ja tas atsakās no precēm pirms to nosūtīšanas.",C,professional_law,1437professional_law
94,"Kura no turpmāk minētajām metodēm būtu jāizmanto, lai uzskaitītu pētniecības un attīstības izmaksas, kurām nav alternatīvas izmantošanas nākotnē?","Visu izmaksu attiecināšana uz izdevumiem, kad tās radušās.","Visu izmaksu kapitalizēšana, kad tās radušās.",Vadības noteikto izmaksu kapitalizēšana un visu pārējo izmaksu attiecināšana uz izdevumiem.,"Visu izmaksu uzkrāšana atsevišķā pašu kapitāla sastāvdaļā, līdz var noteikt nākotnes ieguvumu esamību.",A,professional_accounting,94professional_accounting
119,"Zemes masa ir 5,97 × 10^24 kg. Mēness, kura centrs atrodas 3,84 × 10^8 m no Zemes centra, ir ar masu 7,35 × 10^22 kg. Kurš no šiem aprēķiniem ir labākais Zemes gravitācijas spēka uz Mēnesi novērtējums?",10^39 N,10^29 N,10^19 N,10^9 N,C,high_school_physics,119high_school_physics
